Team,Team2,Stadium,Latitude,Longitude,Country
FC Carl Zeiss Jena,FC Carl Zeiss Jena,Ernst-Abbe-Sportfeld,50.915833,11.582778,Germany
FC Jazz,FC Jazz,Pori Stadium,61.476667,21.774444,Finland
FC Karl-Marx-Stadt,Unknown,Unknown,,,Germany
FC Kuusysi,FC Kuusysi,Lahden kisapuisto,60.986389,25.650278,Finland
FC La Chaux-de-Fonds,FC La Chaux-de-Fonds,Centre Sportif de la Charrière,47.111389,6.836111,Switzerland
FC Luzern,FC Locarno,Stadio del Lido,46.162687,8.801544,Switzerland
FC Luzern,FC Lugano,Cornaredo Stadium,46.023611,8.961667,Switzerland
FC Luzern,FC Luzern,Swissporarena,47.033264,8.305187,Switzerland
FC Luzern,FC Thun,Arena Thun,46.744817,7.606075,Switzerland
FC Norma Tallinn,FC Flora Tallinn,A. Le Coq Arena,59.421292,24.73205,Estonia
FC Norma Tallinn,FC Levadia Tallinn,Kadriorg Stadium,59.434472222,24.783444444,Estonia
FC Norma Tallinn,FC TVMK Tallinn,Kadriorg Stadium,59.434472222,24.783444444,Estonia
FC Politehnica Timisoara,ACS Poli Timișoara,Stadionul Dan Păltinişanu,45.740556,21.244167,Romania
FC Politehnica Timisoara,FC Politehnica Iaşi,Stadionul Emil Alexandrescu,47.184583,27.561389,Romania
FC Politehnica Timisoara,FC Politehnica Timişoara,Stadionul Dan Păltinişanu,45.740556,21.244167,Romania
FC Politehnica Timisoara,FC Ripensia Timișoara,Stadionul UMT,45.7704,21.25426,Romania
FC Porto,F.C. Porto,Estádio do Dragão,41.161758,-8.583933,Portugal
FC Reipas Lahti,FC Lahti,Lahti Stadium,60.983056,25.634167,Finland
FC Santa Coloma,FC Santa Coloma,Estadi Comunal d'Aixovall,42.476389,1.487667,Andorra
FC Santa Coloma,UE Santa Coloma,Estadi Comunal d'Aixovall,42.476389,1.487667,Andorra
FC Slavia Mozyr,FC Savit Mogilev,Torpedo Stadium,53.9181,30.3225,Belarus
FC Tiraspol,Unknown,Unknown,,,Moldova
FC Tirol,Unknown,Unknown,,,Austria
FC Universitatea Craiova,FC Cetatea Suceava,Stadionul Areni,45.258058,27.94715,Romania
FC Universitatea Craiova,FC Universitatea Cluj,Cluj Arena,46.768333,23.572222,Romania
FC Universitatea Craiova,FC Universitatea Craiova,Stadionul Ion Oblemenco,44.313889,23.784167,Romania
FC Yerevan,FC Arabkir Yerevan,Nairi Stadium,40.154605,44.475231,Armenia
FC Yerevan,FC Ararat Yerevan,Abovyan City Stadium,40.268409,44.635241,Armenia
FC Yerevan,FC Van Yerevan,Nairi Stadium,40.154605,44.475231,Armenia
FC Yerevan,FC Yerevan,Hrazdan Stadium,40.180278,44.494444,Armenia
FC Yerevan,SC Nairi Yerevan,Nairi Stadium,40.154605,44.475231,Armenia
FC Zurich,FC Zürich,Letzigrund,47.382791,8.503801,Switzerland
FH,Unknown,Unknown,,,Iceland
FK Ekranas,FBK Kaunas,Darius and Girėnas Stadium,54.897222,23.936944,Lithuania
FK Ekranas,FK Ekranas,Aukštaitija Stadium,55.739167,24.359444,Lithuania
FK Inter Bratislava,FK Inter Bratislava,Štadión Pasienky,48.166111,17.141111,Slovakia
FK Inter Bratislava,ŠK Slovan Bratislava,Štadión Pasienky,48.166111,17.141111,Slovakia
FK Kareda Kaunas,FBK Kaunas,Darius and Girėnas Stadium,54.897222,23.936944,Lithuania
FK Leotar,FK Velež Mostar,Vrapčići Stadium,43.378384,17.854382,Bosnia and Herzegovina
FK Modrica,Unknown,Unknown,,,Bosnia and Herzegovina
FK Mogren,FK Lovćen,Stadion Obilića Poljana,42.3926,18.9244,Montenegro
FK Mogren,FK Mogren,Stadion Lugovi,42.2863,18.8507,Montenegro
FK Mogren,FK Mornar,Stadion Topolica,42.104444,19.09,Montenegro
FK Obilic,FK Obilić,FK Obilić Stadium,44.791586,20.494644,Serbia
FK Partizani Tirana,Partizani Tirana,Selman Stërmasi Stadium,41.31898056,19.81138333,Albania
FK Pobeda,Unknown,Unknown,,,Macedonia
FK Rudar Pljevlja,FK Rudar Pljevlja,Gradski stadion,43.362349,19.362245,Montenegro
FK Sarajevo,F.K. Sarajevo,Asim Ferhatović Hase Stadium,43.873888888,18.408611111,Bosnia and Herzegovina
FK Sarajevo,F.K. Željezničar Sarajevo,Stadion Grbavica,43.846667,18.387222,Bosnia and Herzegovina
FK Sileks,Unknown,Unknown,,,Macedonia
FK Vllaznia,KS Vllaznia Shkodër,Loro Boriçi Stadium,42.070031,19.506558,Albania
FK Zalgiris Vilnius,FK REO Vilnius,Žalgiris Stadium,54.693481,25.29025,Lithuania
FK Zalgiris Vilnius,VMFD Žalgiris Vilnius,LFF Stadium,54.668611,25.294444,Lithuania
FK Zeta,FK Berane,Gradski stadion,42.843342,19.866285,Montenegro
FK Zeta,OFK Petrovac,Stadion Pod Malim Brdom,42.203591,18.945928,Montenegro
Fenerbahce,Fenerbahçe S.K.,Fenerbahce Sukru Saracoglu Stadium,40.987778,29.036667,Turkey
Ferencvaros,Ferencvárosi TC,Stadion Albert Flórián,47.475278,19.096111,Hungary
Feyenoord,Feyenoord,De Kuip,51.893894444,4.523252777,Netherlands
Flora Tallinn,FC Flora Tallinn,A. Le Coq Arena,59.421292,24.73205,Estonia
Flora Tallinn,FC Levadia Tallinn,Kadriorg Stadium,59.434472222,24.783444444,Estonia
Flora Tallinn,FC TVMK Tallinn,Kadriorg Stadium,59.434472222,24.783444444,Estonia
Floriana,Unknown,Unknown,,,Malta
Fola Esch,Unknown,Unknown,,,Luxembourg
Fram Reykjavik,Unknown,Unknown,,,Iceland
Frankfurter SG Eintracht,Unknown,Unknown,,,Germany
Fredrikstad FK,Unknown,Unknown,,,Norwey
GI Gota,Unknown,Unknown,,,Feroe Islands
Galatasaray,Galatasaray S.K.,Türk Telekom Arena,41.102861,28.990417,Turkey
Galatasaray,Malatyaspor,Malatya İnönü Stadium,38.352178,38.330494,Turkey
Gent,Unknown,Unknown,,,Belgium
Girondins Bordeaux,F.C. Girondins de Bordeaux,Stade Bordeaux-Atlantique,44.896944,-0.563333,France
Glenavon FC,Unknown,Unknown,,,Northern Ireland
Glentoran,Unknown,Unknown,,,Northern Ireland
Gomel,FC Gomel,Central Stadium,52.436717,31.012094,Belarus
