club,clubLabel,venue,venueLabel,coordinates
http://www.wikidata.org/entity/Q6651,Brescia Calcio,http://www.wikidata.org/entity/Q94946,Stadio Mario Rigamonti,Point(10.236944 45.570556)
http://www.wikidata.org/entity/Q1120838,Calcio Como,http://www.wikidata.org/entity/Q115372,Stadio Giuseppe Sinigaglia,Point(9.07222222 45.81388889)
http://www.wikidata.org/entity/Q8633,Varese Calcio SSD,http://www.wikidata.org/entity/Q115532,Stadio Franco Ossola,Point(8.80055556 45.83444444)
http://www.wikidata.org/entity/Q8455,F.C. Pro Vercelli 1892,http://www.wikidata.org/entity/Q115535,Stadio Silvio Piola,Point(8.595833 45.435833)
http://www.wikidata.org/entity/Q6721,U.S. Grosseto F.C.,http://www.wikidata.org/entity/Q115545,Stadio Olimpico Carlo Zecchini,Point(11.1075 42.758889)
http://www.wikidata.org/entity/Q6690,F.C. Crotone,http://www.wikidata.org/entity/Q115554,Stadio Ezio Scida,Point(17.116667 39.079167)
http://www.wikidata.org/entity/Q6673,Associazione Sportiva Cittadella,http://www.wikidata.org/entity/Q115582,Stadio Pier Cesare Tombolato,Point(11.781111 45.642778)
http://www.wikidata.org/entity/Q669109,FC La Chaux-de-Fonds,http://www.wikidata.org/entity/Q283171,Centre Sportif de la Charrière,Point(6.836111 47.111389)
http://www.wikidata.org/entity/Q754307,FC Zorya Luhansk,http://www.wikidata.org/entity/Q283507,Avanhard Stadium,Point(39.321111 48.559444)
http://www.wikidata.org/entity/Q429630,Al Jazira Club,http://www.wikidata.org/entity/Q283849,Mohammed Bin Zayed Stadium,Point(54.392019 24.452764)
http://www.wikidata.org/entity/Q167615,Montreal Impact F.C.,http://www.wikidata.org/entity/Q285467,Olympic Stadium of Montreal,Point(-73.551944444 45.557777777)
http://www.wikidata.org/entity/Q1133645,Montreal Manic,http://www.wikidata.org/entity/Q285467,Olympic Stadium of Montreal,Point(-73.551944444 45.557777777)
http://www.wikidata.org/entity/Q284281,Al-Wakrah Sports Club,http://www.wikidata.org/entity/Q285531,Al-Wakrah Stadium,Point(51.596522 25.180294)
http://www.wikidata.org/entity/Q283767,Al-Wahda S.C.C.,http://www.wikidata.org/entity/Q285692,Al Nahyan Stadium,Point(54.375252777 24.469397222)
http://www.wikidata.org/entity/Q284461,Al-Hilal Club,http://www.wikidata.org/entity/Q287268,Al-Hilal Stadium,Point(32.475 15.64722222)
http://www.wikidata.org/entity/Q75729,Sporting Clube de Portugal,http://www.wikidata.org/entity/Q287359,Estádio José Alvalade,Point(-9.160783333 38.761194444)
http://www.wikidata.org/entity/Q283981,Al-Khor Sports Club,http://www.wikidata.org/entity/Q288320,Al-Khawr Stadium,Point(51.492631 25.679406)
http://www.wikidata.org/entity/Q429789,Al Kharaitiyat SC,http://www.wikidata.org/entity/Q288320,Al-Khawr Stadium,Point(51.492631 25.679406)
http://www.wikidata.org/entity/Q578491,Asante Kotoko F.C.,http://www.wikidata.org/entity/Q288618,Baba Yara Stadium,Point(-1.605111 6.682681)
http://www.wikidata.org/entity/Q617049,King Faisal Babes,http://www.wikidata.org/entity/Q288618,Baba Yara Stadium,Point(-1.605111 6.682681)
http://www.wikidata.org/entity/Q4834712,BA Stars,http://www.wikidata.org/entity/Q288618,Baba Yara Stadium,Point(-1.605111 6.682681)
http://www.wikidata.org/entity/Q534448,F.B.C. Torinese,http://www.wikidata.org/entity/Q289288,Velodrome Humbert I,Point(7.66028 45.0569)
http://www.wikidata.org/entity/Q107818,FC Energie Cottbus,http://www.wikidata.org/entity/Q290234,Stadion der Freundschaft,Point(14.345556 51.751389)
http://www.wikidata.org/entity/Q201006,FC Dinamo Tbilisi,http://www.wikidata.org/entity/Q290801,Dinamo Arena,Point(44.78975 41.723)
http://www.wikidata.org/entity/Q191264,AZ Alkmaar,http://www.wikidata.org/entity/Q291590,AFAS Stadion,Point(4.741667 52.6125)
http://www.wikidata.org/entity/Q300302,AZ (women's football club),http://www.wikidata.org/entity/Q291590,AFAS Stadion,Point(4.741667 52.6125)
http://www.wikidata.org/entity/Q187091,FC Wil 1900,http://www.wikidata.org/entity/Q292010,Kybunpark,Point(9.306389 47.408333)
http://www.wikidata.org/entity/Q659212,FC St. Gallen,http://www.wikidata.org/entity/Q292010,Kybunpark,Point(9.306389 47.408333)
http://www.wikidata.org/entity/Q304060,Hønefoss BK,http://www.wikidata.org/entity/Q294111,AKA Arena,Point(10.265368 60.159119)
http://www.wikidata.org/entity/Q584858,Halmstads BK,http://www.wikidata.org/entity/Q297924,Örjans Vall,Point(12.866388888 56.684166666)
http://www.wikidata.org/entity/Q1654931,IS Halmia,http://www.wikidata.org/entity/Q297924,Örjans Vall,Point(12.866388888 56.684166666)
http://www.wikidata.org/entity/Q916199,Oud-Heverlee Leuven,http://www.wikidata.org/entity/Q301760,Den Dreef,Point(4.694167 50.868333)
http://www.wikidata.org/entity/Q374254,PFC Beroe Stara Zagora,http://www.wikidata.org/entity/Q303387,Beroe Stadium,Point(25.615278 42.432778)
http://www.wikidata.org/entity/Q210849,FC Levadia Tallinn,http://www.wikidata.org/entity/Q304666,Kadriorg Stadium,Point(24.783444444 59.434472222)
http://www.wikidata.org/entity/Q730124,FC TVMK Tallinn,http://www.wikidata.org/entity/Q304666,Kadriorg Stadium,Point(24.783444444 59.434472222)
http://www.wikidata.org/entity/Q752339,Nõmme Kalju FC,http://www.wikidata.org/entity/Q304666,Kadriorg Stadium,Point(24.783444444 59.434472222)
http://www.wikidata.org/entity/Q181868,Al-Wahda SC Damascus,http://www.wikidata.org/entity/Q306006,Abbasiyyin Stadium,Point(36.320161 33.522789)
http://www.wikidata.org/entity/Q281422,Al-Majd Damascus,http://www.wikidata.org/entity/Q306006,Abbasiyyin Stadium,Point(36.320161 33.522789)
http://www.wikidata.org/entity/Q285711,Al-Jaish SC,http://www.wikidata.org/entity/Q306006,Abbasiyyin Stadium,Point(36.320161 33.522789)
http://www.wikidata.org/entity/Q286289,Al-Shorta SC,http://www.wikidata.org/entity/Q306006,Abbasiyyin Stadium,Point(36.320161 33.522789)
http://www.wikidata.org/entity/Q106394,SC Freiburg,http://www.wikidata.org/entity/Q311458,Schwarzwald-Stadion,Point(7.893056 47.988889)
